Title,Rating,Votes,Duration,Genre
265. Yudhra,4.9, (13K),2h 22m,Action
266. KA,7.0, (1.7K),2h 31m,Action
267. Auron Mein Kahan Dum Tha,6.4, (41K),2h 30m,Action
268. Alien Country,4.5, (404),1h 36m,Action
269. Operation Valentine,5.3, (1.4K),2h 13m,Action
270. Sixty Minutes,5.7, (5.3K),1h 28m,Action
271. Kuang Bao Ju Xi,5.7, (82),1h 15m,Action
272. Death Whisperer 2,6.3, (1.5K),1h 50m,Action
273. Continental Split,3.5, (568),1h 28m,Action
274. Martin,2.2, (36K),2h 27m,Action
275. Siren,6.4, (3K),2h 34m,Action
276. Tillu Square,6.6, (3.5K),2h 17m,Action
277. How to Rob a Bank,6.6, (4.3K),1h 28m,Action
278. Guy Manley: Super Spy,4.2, (161),1h 32m,Action
279. Invasion,4.8, (747),1h 31m,Action
280. 72 Hours,4.0, (337),1h 27m,Action
281. Revolver,5.4, (924),1h 54m,Action
282. Don't Mess with Grandma,5.5, (291),1h 21m,Action
283. Mathu Vadalara 2,7.0, (1.7K),2h 19m,Action
284. Ryan's World the Movie: Titan Universe Adventure,1.8, (731),1h 20m,Action
285. Peter Five Eight,3.5, (1.1K),1h 40m,Action
286. Ayalaan,5.9, (4K),2h 35m,Action
287. Gladiators,4.4, (115),1h 35m,Action
288. Baki Hanma VS Kengan Ashura,5.7, (2K),1h 2m,Action
289. Garudan,7.1, (3.4K),2h 13m,Action
290. Mura,7.2, (6.4K),2h 9m,Action
291. Golden Kamuy,6.3, (2.6K),2h 7m,Action
292. Rendel: Cycle of Revenge,3.6, (254),1h 39m,Action
293. The Last Kumite,4.6, (2.4K),1h 45m,Action
294. Wanted Man,4.8, (2.6K),1h 25m,Action
295. Razakar: The Silent Genocide of Hyderabad,7.3, (5.3K),2h 46m,Action
296. Baby Invasion,4.6, (580),1h 20m,Action
297. DNA,5.1, (216),2h 36m,Action
298. Kondal,5.3, (799),2h 27m,Action
299. Double Ismart,2.9, (2.2K),2h 36m,Action
300. Agni,7.2, (15K),2h 2m,Action
301. Spiders on a Plane,4.9, (394),1h 18m,Action
302. Je Jatt Vigarh Gya,5.6, (835),2h 12m,Action
303. Seeds,5.0, (227),1h 22m,Action
304. 24 Hours to D-Day,3.5, (83),1h 23m,Action
305. Rogue Elements: A Ryan Drake Story,4.3, (1.1K),44m,Action
306. GTMax,5.0, (1.3K),1h 40m,Action
307. Ferry 2,5.6, (3.9K),1h 34m,Action
308. Operation Blood Hunt,3.4, (520),1h 33m,Action
309. Harom Hara,6.6, (3.1K),2h 34m,Action
310. Witch Hunter,4.8, (26),1h 20m,Action
311. Arena Wars,4.8, (2.2K),1h 36m,Action
312. Cesium Fallout,6.3, (891),2h 15m,Action
313. Heart of the Hunter,4.7, (2.2K),1h 45m,Action
314. Ghosts of Red Ridge,3.2, (179),1h 21m,Action
315. Nice Girls,4.2, (1.2K),1h 32m,Action
316. The Hangman,3.3, (1K),1h 32m,Action
317. Operation Undead,4.7, (440),1h 50m,Action
318. Roadkill,3.7, (694),1h 30m,Action
319. War of the Worlds: Extinction,3.0, (215),1h 24m,Action
320. Devaki Nandana Vasudeva,6.5, (2.8K),2h 8m,Action
"321. Love, Courage and the Battle of Bushy Run",5.0, (194),1h 53m,Action
322. No Time to Spy: A Loud House Movie,6.3, (499),1h 21m,Action
323. Matka,4.7, (604),2h 36m,Action
324. Bionic,4.3, (1.8K),1h 50m,Action
325. Chaari 111,4.8, (268),2h 10m,Action
326. American Warrior,8.5, (25),1h 29m,Action
327. Rathnam,5.4, (3.7K),2h 35m,Action
329. Fight Another Day,4.9, (376),1h 37m,Action
330. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2, (671),2h 54m,Action
331. Black Heat,8.2, (136),1h 33m,Action
332. 6 Hours Away,4.0, (257),1h 33m,Action
333. Six jours,5.7, (266),1h 35m,Action
334. Snatched,6.1, (533),1h 41m,Action
335. Eye for an Eye 2,6.6, (549),1h 30m,Action
336. Snow White and the Seven Samurai,3.2, (314),1h 28m,Action
337. Barroz: Guardian of Treasures,3.4, (1K),2h 35m,Action
338. They Call Her Death,5.3, (204),1h 32m,Action
339. Deaner '89,5.8, (459),1h 30m,Action
340. Thundu,5.0, (923),2h 5m,Action
341. Sheriff,6.9, (1.2K),2h 13m,Action
342. 12 to Midnight,3.6, (298),1h 36m,Action
343. Ruslaan,3.3, (1.3K),2h,Action
344. Mahadev Ka Gorakhpur,7.5, (402),2h 11m,Action
345. What Happens in Miami,4.2, (222),1h 30m,Action
346. Cassino in Ischia,4.4, (267),1h 53m,Action
347. Conquer: Lahad Datu,6.6, (548),2h,Action
348. Sucha Soorma,6.4, (955),2h 16m,Action
349. Shark Island,3.1, (129),1h 21m,Action
350. Weapon,5.4, (5.7K),2h,Action
351. Ship of the Damned,2.8, (310),1h 28m,Action
352. The Firefighters,5.7, (250),1h 46m,Action
353. Turbo,5.9, (3.7K),2h 35m,Action
354. Bhaiyya Ji,4.8, (7.4K),2h 30m,Action
355. 12 Gaun,6.4, (948),2h 27m,Action
356. Mechanic Rocky,6.4, (3.5K),2h 36m,Action
357. Bastar: The Naxal Story,6.4, (3.3K),2h 4m,Action
358. Alangu,8.0, (1.3K),2h 11m,Action
359. School of Magical Animals 3,5.7, (351),1h 45m,Action
360. The Circuit 4: Faith Fighter,4.5, (92),1h 30m,Action
361. The Plot,4.8, (402),1h 40m,Action
362. The Bodyguard,6.6, (37),1h 27m,Action
363. Viswam,4.2, (653),2h 35m,Action
364. Bandaa Singh Chaudhary,6.0, (5.3K),1h 53m,Action
365. Malayalee from India,5.6, (5.1K),2h 40m,Action
366. Go for Broke,5.7, (287),1h 55m,Action
367. Bangkok Dog,4.7, (243),1h 25m,Action
368. Bloody Beggar,6.2, (4.4K),2h 14m,Action
369. Second Life,6.7, (58),1h 45m,Action
370. Appu,8.1, (189),1h 32m,Action
371. Bangkok Breaking: Heaven and Hell,5.8, (699),2h 26m,Action
372. Mobile Suit Gundam SEED Freedom,6.6, (981),2h 4m,Action
373. Purushothamudu,5.2, (2.5K),2h,Action
374. First Nights at Freddy's,9.4, (19),1h 38m,Action
375. Pottel,8.1, (2.7K),2h 28m,Action
376. Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,Action
377. Pusaka,5.2, (195),1h 30m,Action
378. Bheema,5.7, (968),2h 28m,Action
379. Non Negotiable,5.4, (1.2K),1h 27m,Action
380. Saindhav,5.0, (1.6K),2h 18m,Action
381. Zebra,7.2, (3.2K),2h 44m,Action
382. Naa Saami Ranga,4.5, (1.2K),2h 30m,Action
383. Crisis Negotiators,6.7, (749),2h,Action
384. Naam,6.3, (287),2h 16m,Action
